Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose,length [mm],comment
T225151,2c,iSeq049-TM-T225-LHamp_S238_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.439,re-sequenced to increase read numbers
T226152,2c,iSeq049-TM-T226-LHamp_S239_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.616,re-sequenced to increase read numbers
T226152,2c,iSeq049-TM-T226-LHamp_S239_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.616,re-sequenced to increase read numbers
T227153,2c,iSeq049-TM-T227-LHamp_S240_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.363,re-sequenced to increase read numbers
T227153,2c,iSeq049-TM-T227-LHamp_S240_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.363,re-sequenced to increase read numbers
T229155,2c,iSeq049-TM-T229-LHamp_S242_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.947,re-sequenced to increase read numbers
T229155,2c,iSeq049-TM-T229-LHamp_S242_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.947,re-sequenced to increase read numbers
T230156,2c,iSeq049-TM-T230-LHamp_S243_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.518,re-sequenced to increase read numbers
T230156,2c,iSeq049-TM-T230-LHamp_S243_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.518,re-sequenced to increase read numbers
T231157,2c,iSeq049-TM-T231-LHamp_S244_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.542,re-sequenced to increase read numbers
T231157,2c,iSeq049-TM-T231-LHamp_S244_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.542,re-sequenced to increase read numbers
T232158,2c,iSeq049-TM-T232-LHamp_S245_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.751,re-sequenced to increase read numbers
T232158,2c,iSeq049-TM-T232-LHamp_S245_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.751,re-sequenced to increase read numbers
T233159,2c,iSeq049-TM-T233-LHamp_S246_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.795,re-sequenced to increase read numbers
T233159,2c,iSeq049-TM-T233-LHamp_S246_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.795,re-sequenced to increase read numbers
T234160,2c,iSeq049-TM-T234-LHamp_S247_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.718,re-sequenced to increase read numbers
T234160,2c,iSeq049-TM-T234-LHamp_S247_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.718,re-sequenced to increase read numbers
T235161,2c,iSeq049-TM-T235-LHamp_S248_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.58,re-sequenced to increase read numbers
T235161,2c,iSeq049-TM-T235-LHamp_S248_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.58,re-sequenced to increase read numbers
T236162,2c,iSeq049-TM-T236-LHamp_S249_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.135,re-sequenced to increase read numbers
T236162,2c,iSeq049-TM-T236-LHamp_S249_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.135,re-sequenced to increase read numbers
T237163,2c,iSeq049-TM-T237-LHamp_S250_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,10.168,re-sequenced to increase read numbers
T237163,2c,iSeq049-TM-T237-LHamp_S250_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,10.168,re-sequenced to increase read numbers
T238164,2c,iSeq049-TM-T238-LHamp_S251_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.614,re-sequenced to increase read numbers
T238164,2c,iSeq049-TM-T238-LHamp_S251_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.614,re-sequenced to increase read numbers
T239165,2c,iSeq049-TM-T239-LHamp_S252_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.64,re-sequenced to increase read numbers
T239165,2c,iSeq049-TM-T239-LHamp_S252_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.64,re-sequenced to increase read numbers
T240166,2c,iSeq049-TM-T240-LHamp_S253_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.078,re-sequenced to increase read numbers
T240166,2c,iSeq049-TM-T240-LHamp_S253_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.078,re-sequenced to increase read numbers
T241167,2c,iSeq049-TM-T241-LHamp_S254_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.921,re-sequenced to increase read numbers
T241167,2c,iSeq049-TM-T241-LHamp_S254_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,8.921,re-sequenced to increase read numbers
T242168,2c,iSeq049-TM-T242-LHamp_S255_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.796,re-sequenced to increase read numbers
T242168,2c,iSeq049-TM-T242-LHamp_S255_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.796,re-sequenced to increase read numbers
T243169,2c,iSeq049-TM-T243-LHamp_S256_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.395,re-sequenced to increase read numbers
T243169,2c,iSeq049-TM-T243-LHamp_S256_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,9.395,re-sequenced to increase read numbers
T244170,2c,iSeq049-TM-T244-LHamp_S257_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.518,re-sequenced to increase read numbers
T244170,2c,iSeq049-TM-T244-LHamp_S257_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,lh-amp,B,ref.conformity,7.518,re-sequenced to increase read numbers
T245171,2c,iSeq049-TM-T245-LHamp_S258_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.479,re-sequenced to increase read numbers
T245171,2c,iSeq049-TM-T245-LHamp_S258_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.479,re-sequenced to increase read numbers
T246172,2c,iSeq049-TM-T246-LHamp_S259_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.161,re-sequenced to increase read numbers
T246172,2c,iSeq049-TM-T246-LHamp_S259_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.161,re-sequenced to increase read numbers
T247173,2c,iSeq049-TM-T247-LHamp_S260_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.127,re-sequenced to increase read numbers
T247173,2c,iSeq049-TM-T247-LHamp_S260_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.127,re-sequenced to increase read numbers
T248174,2c,iSeq049-TM-T248-LHamp_S261_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.808,re-sequenced to increase read numbers
T248174,2c,iSeq049-TM-T248-LHamp_S261_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.808,re-sequenced to increase read numbers
T249175,2c,iSeq049-TM-T249-LHamp_S262_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.29,re-sequenced to increase read numbers
T249175,2c,iSeq049-TM-T249-LHamp_S262_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.29,re-sequenced to increase read numbers
T250176,2c,iSeq049-TM-T250-LHamp_S263_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.074,re-sequenced to increase read numbers
T250176,2c,iSeq049-TM-T250-LHamp_S263_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.074,re-sequenced to increase read numbers
T251177,2c,iSeq049-TM-T251-LHamp_S264_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.23,re-sequenced to increase read numbers
T251177,2c,iSeq049-TM-T251-LHamp_S264_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.23,re-sequenced to increase read numbers
T252178,2c,iSeq049-TM-T252-LHamp_S265_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.485,re-sequenced to increase read numbers
T252178,2c,iSeq049-TM-T252-LHamp_S265_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.485,re-sequenced to increase read numbers
T253179,2c,iSeq049-TM-T253-LHamp_S266_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.399,re-sequenced to increase read numbers
T253179,2c,iSeq049-TM-T253-LHamp_S266_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.399,re-sequenced to increase read numbers
T254180,2c,iSeq049-TM-T254-LHamp_S267_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,6.949,re-sequenced to increase read numbers
T254180,2c,iSeq049-TM-T254-LHamp_S267_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,6.949,re-sequenced to increase read numbers
T255181,2c,iSeq049-TM-T255-LHamp_S268_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,6.19,re-sequenced to increase read numbers
T255181,2c,iSeq049-TM-T255-LHamp_S268_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,6.19,re-sequenced to increase read numbers
T256182,2c,iSeq049-TM-T256-LHamp_S269_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.589,re-sequenced to increase read numbers
T256182,2c,iSeq049-TM-T256-LHamp_S269_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.589,re-sequenced to increase read numbers
T257183,2c,iSeq049-TM-T257-LHamp_S270_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.641,re-sequenced to increase read numbers
T257183,2c,iSeq049-TM-T257-LHamp_S270_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,7.641,re-sequenced to increase read numbers
T258184,2c,iSeq049-TM-T258-LHamp_S271_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,5.811,re-sequenced to increase read numbers
T258184,2c,iSeq049-TM-T258-LHamp_S271_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,5.811,re-sequenced to increase read numbers
T259185,2c,iSeq049-TM-T259-LHamp_S272_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.042,re-sequenced to increase read numbers
T259185,2c,iSeq049-TM-T259-LHamp_S272_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.042,re-sequenced to increase read numbers
T260186,2c,iSeq049-TM-T260-LHamp_S273_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.203,re-sequenced to increase read numbers
T260186,2c,iSeq049-TM-T260-LHamp_S273_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.203,re-sequenced to increase read numbers
T261187,2c,iSeq049-TM-T261-LHamp_S274_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.023,re-sequenced to increase read numbers
T261187,2c,iSeq049-TM-T261-LHamp_S274_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.023,re-sequenced to increase read numbers
T262188,2c,iSeq049-TM-T262-LHamp_S275_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,8.964,re-sequenced to increase read numbers
T262188,2c,iSeq049-TM-T262-LHamp_S275_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,8.964,re-sequenced to increase read numbers
T263189,2c,iSeq049-TM-T263-LHamp_S276_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.857,re-sequenced to increase read numbers
T263189,2c,iSeq049-TM-T263-LHamp_S276_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.857,re-sequenced to increase read numbers
T264190,2c,iSeq049-TM-T264-LHamp_S277_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.421,re-sequenced to increase read numbers
T264190,2c,iSeq049-TM-T264-LHamp_S277_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.421,re-sequenced to increase read numbers
T265191,2c,iSeq049-TM-T265-LHamp_S278_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.899,re-sequenced to increase read numbers
T265191,2c,iSeq049-TM-T265-LHamp_S278_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.899,re-sequenced to increase read numbers
T266192,2c,iSeq049-TM-T266-LHamp_S279_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.658,re-sequenced to increase read numbers
T266192,2c,iSeq049-TM-T266-LHamp_S279_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.658,re-sequenced to increase read numbers
T267193,2c,iSeq049-TM-T267-LHamp_S280_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.734,re-sequenced to increase read numbers
T267193,2c,iSeq049-TM-T267-LHamp_S280_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.734,re-sequenced to increase read numbers
T268194,2c,iSeq049-TM-T268-LHamp_S281_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,8.766,re-sequenced to increase read numbers
T268194,2c,iSeq049-TM-T268-LHamp_S281_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,8.766,re-sequenced to increase read numbers
T269195,2c,iSeq049-TM-T269-LHamp_S282_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.982,re-sequenced to increase read numbers
T269195,2c,iSeq049-TM-T269-LHamp_S282_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.982,re-sequenced to increase read numbers
T270196,2c,iSeq049-TM-T270-LHamp_S283_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.653,re-sequenced to increase read numbers
T270196,2c,iSeq049-TM-T270-LHamp_S283_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,9.653,re-sequenced to increase read numbers
T271197,2c,iSeq049-TM-T271-LHamp_S284_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,8.093,re-sequenced to increase read numbers
T271197,2c,iSeq049-TM-T271-LHamp_S284_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,8.093,re-sequenced to increase read numbers
T272198,2c,iSeq049-TM-T272-LHamp_S285_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.174,re-sequenced to increase read numbers
T272198,2c,iSeq049-TM-T272-LHamp_S285_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,10.174,re-sequenced to increase read numbers
T273199,2c,iSeq049-TM-T273-LHamp_S286_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,7.23,re-sequenced to increase read numbers
T273199,2c,iSeq049-TM-T273-LHamp_S286_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,7.23,re-sequenced to increase read numbers
T274200,2c,iSeq049-TM-T274-LHamp_S287_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,7.629,re-sequenced to increase read numbers
T274200,2c,iSeq049-TM-T274-LHamp_S287_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,lh-amp,A,ref.conformity,7.629,re-sequenced to increase read numbers
T275201,2c,iSeq049-TM-T275-LHamp_S288_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,6.438,re-sequenced to increase read numbers
T275201,2c,iSeq049-TM-T275-LHamp_S288_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,6.438,re-sequenced to increase read numbers
T276202,2c,iSeq049-TM-T276-LHamp_S289_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.297,re-sequenced to increase read numbers
T276202,2c,iSeq049-TM-T276-LHamp_S289_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.297,re-sequenced to increase read numbers
T277203,2c,iSeq049-TM-T277-LHamp_S290_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.344,re-sequenced to increase read numbers
T277203,2c,iSeq049-TM-T277-LHamp_S290_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.344,re-sequenced to increase read numbers
T278204,2c,iSeq049-TM-T278-LHamp_S291_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.924,re-sequenced to increase read numbers
T278204,2c,iSeq049-TM-T278-LHamp_S291_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.924,re-sequenced to increase read numbers
T279205,2c,iSeq049-TM-T279-LHamp_S292_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.186,re-sequenced to increase read numbers
T279205,2c,iSeq049-TM-T279-LHamp_S292_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.186,re-sequenced to increase read numbers
